Order_ID,Order_Date,Customer_ID,Customer_Name,Customer_Segment,Region,Country,Sales_Channel,Category,Product,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Payment_Method,Order_Status,Delivery_Days,Promised_Delivery_Days,On_Time_Delivery
ORD-00280,2024-01-01,CUST-0283,Customer 283,Consumer,Middle East,Pakistan,Retail Store,Technology,Tablet X,6,333.47,0.05,1900.78,1328.34,572.44,Cash,Completed,6,3,No
ORD-00184,2024-01-01,CUST-0089,Customer 89,Corporate,Latin America,Brazil,Online,Office Supplies,Office Organizer,1,423.49,0.05,402.32,224.16,178.16,Bank Transfer,Completed,10,9,No
ORD-00040,2024-01-01,CUST-0232,Customer 232,Consumer,Europe,France,Retail Store,Office Supplies,Premium Paper,3,182.91,0.15,0.0,370.56,0.0,PayPal,Cancelled,9,6,No
ORD-01094,2024-01-01,CUST-0229,Customer 229,Consumer,Asia Pacific,India,Online,Furniture,Conference Table,4,1358.09,0.02,5323.71,3765.46,1558.25,Bank Transfer,Completed,7,9,Yes
ORD-01008,2024-01-03,CUST-0092,Customer 92,Small Business,Middle East,Saudi Arabia,Online,Technology,Business Monitor,10,680.02,0.08,6256.18,4291.07,1965.11,Cash,Completed,7,3,No
ORD-01493,2024-01-04,CUST-0162,Customer 162,Small Business,North America,Canada,Online,Office Supplies,Printer,3,681.44,0.0,2044.32,1581.88,462.44,Cash,Completed,2,5,Yes
ORD-00565,2024-01-05,CUST-0139,Customer 139,Corporate,Europe,Germany,Online,Furniture,Executive Chair,2,1297.39,0.0,0.0,1539.58,0.0,Cash,Cancelled,5,4,No
ORD-00665,2024-01-06,CUST-0213,Customer 213,Consumer,North America,Canada,Online,Technology,Laptop Pro 14,1,1081.92,0.1,973.73,532.41,441.32,PayPal,Completed,10,8,No
ORD-00783,2024-01-06,CUST-0145,Customer 145,Consumer,North America,United States,Online,Technology,Tablet X,9,380.18,0.02,3353.19,1751.55,1601.64,Cash,Completed,2,3,Yes
ORD-00777,2024-01-08,CUST-0035,Customer 35,Consumer,North America,United States,Retail Store,Accessories,USB-C Hub,8,320.75,0.08,0.0,1354.94,0.0,Bank Transfer,Cancelled,7,4,No
ORD-00921,2024-01-08,CUST-0167,Customer 167,Consumer,Latin America,Mexico,Online,Technology,Tablet X,3,1046.61,0.0,3139.83,2529.84,609.99,Credit Card,Completed,10,3,No
ORD-00311,2024-01-08,CUST-0111,Customer 111,Consumer,Europe,Germany,Retail Store,Office Supplies,Ink Cartridge,8,1307.38,0.02,10249.86,7525.82,2724.04,Cash,Completed,3,3,Yes
ORD-00525,2024-01-08,CUST-0141,Customer 141,Small Business,Middle East,UAE,Partner,Accessories,Mechanical Keyboard,10,74.84,0.05,710.98,418.86,292.12,Bank Transfer,Completed,14,4,No
ORD-00928,2024-01-09,CUST-0243,Customer 243,Small Business,Asia Pacific,India,Retail Store,Technology,Tablet X,5,265.94,0.08,1223.32,891.65,331.67,Bank Transfer,Completed,12,9,No
ORD-00729,2024-01-09,CUST-0220,Customer 220,Consumer,North America,United States,Online,Accessories,Webcam,3,112.49,0.05,320.6,204.07,116.53,Credit Card,Completed,11,6,No
ORD-01141,2024-01-09,CUST-0025,Customer 25,Corporate,Middle East,Pakistan,Online,Furniture,Executive Chair,3,59.85,0.08,165.19,117.55,47.64,Cash,Completed,8,10,Yes
ORD-01245,2024-01-09,CUST-0022,Customer 22,Consumer,Middle East,UAE,Online,Technology,Business Monitor,3,1366.31,0.0,4098.93,2384.78,1714.15,Cash,Completed,9,4,No
ORD-00235,2024-01-10,CUST-0219,Customer 219,Small Business,North America,United States,Retail Store,Furniture,Storage Cabinet,8,1301.22,0.15,8848.3,5094.73,3753.57,Cash,Completed,9,9,Yes
ORD-00363,2024-01-10,CUST-0273,Customer 273,Corporate,Europe,France,Retail Store,Office Supplies,Premium Paper,3,212.44,0.05,605.45,477.98,127.47,Credit Card,Shipped,4,11,Yes
ORD-01033,2024-01-10,CUST-0261,Customer 261,Consumer,North America,United States,Retail Store,Office Supplies,Printer,4,35.43,0.08,130.38,99.6,30.78,PayPal,Completed,4,10,Yes
ORD-01277,2024-01-11,CUST-0211,Customer 211,Corporate,North America,United States,Online,Office Supplies,Office Organizer,1,459.0,0.08,422.28,225.32,196.96,Bank Transfer,Completed,9,11,Yes
ORD-01337,2024-01-12,CUST-0165,Customer 165,Small Business,North America,United States,Partner,Furniture,Executive Chair,8,619.59,0.0,4956.72,2830.63,2126.09,Credit Card,Completed,7,8,Yes
ORD-00403,2024-01-12,CUST-0133,Customer 133,Consumer,Europe,France,Online,Accessories,Webcam,4,990.2,0.1,3564.72,2496.88,1067.84,Credit Card,Completed,2,8,Yes
ORD-01010,2024-01-13,CUST-0258,Customer 258,Consumer,Europe,United Kingdom,Retail Store,Office Supplies,Premium Paper,1,131.91,0.02,129.27,71.64,57.63,Bank Transfer,Shipped,9,7,No
ORD-00159,2024-01-13,CUST-0031,Customer 31,Small Business,North America,United States,Retail Store,Office Supplies,Ink Cartridge,2,1505.73,0.0,3011.46,2057.33,954.13,Cash,Completed,11,10,No
ORD-00392,2024-01-14,CUST-0075,Customer 75,Consumer,Europe,United Kingdom,Partner,Office Supplies,Ink Cartridge,7,558.22,0.08,3594.94,1911.85,1683.09,PayPal,Completed,5,7,Yes
ORD-00532,2024-01-16,CUST-0013,Customer 13,Consumer,Latin America,Mexico,Partner,Technology,Wireless Router,9,444.96,0.05,0.0,2028.01,0.0,Bank Transfer,Cancelled,1,6,Yes
ORD-00197,2024-01-16,CUST-0261,Customer 261,Consumer,Middle East,Saudi Arabia,Partner,Office Supplies,Office Organizer,3,1361.71,0.1,3676.62,2369.67,1306.95,Cash,Completed,5,8,Yes
ORD-00548,2024-01-16,CUST-0041,Customer 41,Consumer,Asia Pacific,Australia,Retail Store,Office Supplies,Printer,8,1063.99,0.05,8086.32,4569.86,3516.46,PayPal,Completed,2,9,Yes
ORD-00307,2024-01-16,CUST-0088,Customer 88,Corporate,Asia Pacific,India,Online,Technology,Wireless Router,7,754.92,0.2,4227.55,3327.48,900.07,PayPal,Shipped,11,11,Yes
ORD-01457,2024-01-17,CUST-0113,Customer 113,Consumer,Asia Pacific,Singapore,Retail Store,Office Supplies,Ink Cartridge,5,1058.63,0.1,4763.84,2922.01,1841.83,Bank Transfer,Completed,5,6,Yes
